feature_set,feature_rank,feature_name
full,1,NAME_CONTRACT_TYPE
full,2,FLAG_OWN_CAR
full,3,FLAG_OWN_REALTY
full,4,AMT_INCOME_TOTAL
full,5,AMT_CREDIT
full,6,AMT_ANNUITY
full,7,AMT_GOODS_PRICE
full,8,credit_to_income_ratio
full,9,annuity_to_income_ratio
full,10,goods_price_to_income_ratio
full,11,NAME_INCOME_TYPE
full,12,NAME_EDUCATION_TYPE
full,13,NAME_HOUSING_TYPE
full,14,REGION_POPULATION_RELATIVE
full,15,employment_length_days
full,16,DAYS_REGISTRATION
full,17,DAYS_ID_PUBLISH
full,18,OWN_CAR_AGE
full,19,OCCUPATION_TYPE
full,20,REGION_RATING_CLIENT
full,21,REGION_RATING_CLIENT_W_CITY
full,22,HOUR_APPR_PROCESS_START
full,23,ORGANIZATION_TYPE
full,24,EXT_SOURCE_1
full,25,EXT_SOURCE_2
full,26,EXT_SOURCE_3
full,27,ext_source_mean
full,28,ext_source_min
full,29,ext_source_max
full,30,ext_source_missing_count
full,31,DAYS_LAST_PHONE_CHANGE
full,32,bureau_credit_count
full,33,active_credit_count
full,34,closed_credit_count
full,35,overdue_credit_count
full,36,max_credit_day_overdue
full,37,total_credit_sum
full,38,avg_credit_sum
full,39,total_credit_debt
full,40,total_credit_limit
full,41,total_credit_overdue
full,42,avg_days_credit
full,43,earliest_days_credit
full,44,latest_days_credit
full,45,avg_days_credit_enddate
full,46,avg_days_enddate_fact
full,47,bureau_balance_month_count
full,48,bureau_balance_bureau_count
full,49,bureau_balance_closed_month_count
full,50,bureau_balance_unknown_month_count
full,51,bureau_balance_dpd_0_count
full,52,bureau_balance_dpd_1plus_count
full,53,bureau_balance_dpd_2plus_count
full,54,bureau_balance_dpd_5plus_count
full,55,bureau_balance_max_status
full,56,bureau_balance_avg_numeric_status
full,57,bureau_balance_latest_month
full,58,bureau_balance_earliest_month
full,59,bureau_balance_recent_month_count
full,60,bureau_balance_recent_known_month_count
full,61,bureau_balance_recent_dpd_1plus_count
full,62,bureau_balance_dpd_1plus_rate
full,63,bureau_balance_dpd_2plus_rate
full,64,bureau_balance_recent_dpd_1plus_rate
full,65,pos_cash_month_count
full,66,pos_cash_contract_count
full,67,pos_cash_active_month_count
full,68,pos_cash_completed_month_count
full,69,pos_cash_problem_status_month_count
full,70,pos_cash_dpd_month_count
full,71,pos_cash_dpd_def_month_count
full,72,pos_cash_max_dpd
full,73,pos_cash_max_dpd_def
full,74,pos_cash_avg_dpd
full,75,pos_cash_avg_dpd_def
full,76,pos_cash_avg_instalment_count
full,77,pos_cash_avg_future_installments
full,78,pos_cash_latest_month
full,79,pos_cash_earliest_month
full,80,pos_cash_recent_month_count
full,81,pos_cash_recent_dpd_month_count
full,82,pos_cash_completed_month_rate
full,83,pos_cash_dpd_month_rate
full,84,pos_cash_dpd_def_month_rate
full,85,pos_cash_recent_dpd_month_rate
full,86,credit_card_month_count
full,87,credit_card_contract_count
full,88,credit_card_active_month_count
full,89,credit_card_completed_month_count
full,90,credit_card_problem_status_month_count
full,91,credit_card_dpd_month_count
full,92,credit_card_dpd_def_month_count
full,93,credit_card_max_dpd
full,94,credit_card_max_dpd_def
full,95,credit_card_avg_dpd
full,96,credit_card_avg_dpd_def
full,97,credit_card_avg_balance
full,98,credit_card_max_balance
full,99,credit_card_avg_credit_limit
full,100,credit_card_max_credit_limit
full,101,credit_card_balance_to_limit_ratio
full,102,credit_card_avg_credit_utilization
full,103,credit_card_avg_drawings_current
full,104,credit_card_total_drawings_current
full,105,credit_card_avg_drawing_count
full,106,credit_card_total_drawing_count
full,107,credit_card_avg_total_receivable
full,108,credit_card_total_receivable
full,109,credit_card_payment_to_min_ratio
full,110,credit_card_total_payment_to_min_ratio
full,111,credit_card_latest_month
full,112,credit_card_earliest_month
full,113,credit_card_recent_month_count
full,114,credit_card_recent_dpd_month_count
full,115,credit_card_completed_month_rate
full,116,credit_card_dpd_month_rate
full,117,credit_card_dpd_def_month_rate
full,118,credit_card_recent_dpd_month_rate
full,119,bureau_balance_recent_dpd_rate_delta
full,120,bureau_balance_recent_status_delta
full,121,pos_cash_recent_dpd_rate_delta
full,122,pos_cash_remaining_installment_ratio_delta
full,123,credit_card_recent_utilization_delta
full,124,credit_card_recent_balance_ratio_delta
full,125,credit_card_recent_drawings_ratio_delta
full,126,credit_card_recent_dpd_rate_delta
full,127,installments_last_3_late_payment_rate
full,128,installments_last_3_underpayment_rate
full,129,installments_last_3_avg_payment_delay_days
full,130,installments_last_3_payment_amount_ratio
full,131,installments_last_payment_delay_days
full,132,installments_last_payment_ratio
full,133,pos_cash_last_3_dpd_rate
full,134,pos_cash_last_3_dpd_def_rate
full,135,pos_cash_last_3_future_installment_ratio
full,136,pos_cash_last_3_dpd_rate_delta
full,137,pos_cash_last_loan_dpd_rate
full,138,credit_card_last_3_credit_utilization
full,139,credit_card_last_3_payment_to_min_ratio
full,140,credit_card_last_3_drawing_count
full,141,credit_card_last_3_dpd_rate
full,142,credit_card_last_3_utilization_delta
full,143,previous_application_count
full,144,approved_application_count
full,145,refused_application_count
full,146,canceled_application_count
full,147,approval_rate
full,148,refusal_rate
full,149,avg_application_amount
full,150,avg_previous_credit_amount
full,151,total_previous_credit_amount
full,152,avg_credit_to_application_ratio
full,153,avg_days_decision
full,154,earliest_days_decision
full,155,latest_days_decision
full,156,installment_payment_count
full,157,late_payment_count
full,158,avg_payment_delay_days
full,159,max_payment_delay_days
full,160,underpayment_count
full,161,total_instalment_amount
full,162,total_payment_amount
full,163,payment_amount_ratio
full,164,avg_payment_to_instalment_ratio
full,165,external_score_credit_pressure
full,166,external_score_annuity_pressure
full,167,bureau_debt_to_income_ratio
full,168,payment_shortfall_ratio
