seed,feature_set,seed_validation_winner,feature_count,feature_limit,selected_calibration_method,selected_candidate_name,validation_pr_auc,validation_roc_auc,validation_brier_score,validation_top_decile_lift,validation_precision_at_top_decile,validation_recall_at_review_capacity,validation_weighted_calibration_error,test_pr_auc,test_roc_auc,test_brier_score,test_top_decile_lift,test_precision_at_top_decile,test_recall_at_review_capacity,test_weighted_calibration_error,validation_balanced_ev_per_applicant,test_balanced_ev_per_applicant,created_at
17,top_40,False,40,40,sigmoid,lighter_weight_calibrated,0.26392185795605466,0.7777051613066815,0.0667105682021767,3.5819367485947224,0.2891827444179493,0.3582169709989259,0.0014184898102208136,0.2583685039056068,0.7723621079138023,0.06702665121865888,3.4879578983692237,0.28159549100368525,0.3488184747583244,0.0028123493571376645,577.5001625945758,573.9902876840029,2026-04-30T05:26:14Z
17,top_60,False,60,60,sigmoid,regularized_low_learning_rate,0.2677289572724365,0.781142304114682,0.0665541006404808,3.563140978549623,0.2876652937350965,0.3563372717508056,0.0020510158408541855,0.26319367685411993,0.775734802117263,0.06680697763847582,3.59804740863338,0.2904834164318231,0.359828141783029,0.0028854482614443394,581.5325080755306,575.8828885468381,2026-04-30T05:26:14Z
17,top_80,False,80,80,sigmoid,rank_focused_class_weighted,0.26654430139716434,0.7794765575151201,0.06658731812080006,3.5792516385882798,0.2889659657489703,0.3579484425349087,0.0030118940346287072,0.2591838335772177,0.776248560782931,0.06690856072653972,3.549715428517408,0.2865814003902016,0.35499462943071963,0.002694055978031374,581.5325080755306,575.4287076983112,2026-04-30T05:26:14Z
17,top_100,False,100,100,sigmoid,feature_subsample_regularized,0.2664828453243734,0.7807492797170255,0.06651995997878586,3.600732518639822,0.2907001951008021,0.36009667024704617,0.0024524758243271104,0.2605750635835835,0.776809162951378,0.06683916481797024,3.563140978549623,0.2876652937350965,0.3563372717508056,0.0025069238139464965,582.4430377002623,577.3690029700609,2026-04-30T05:26:14Z
17,full,True,140,full,sigmoid,feature_subsample_regularized,0.2705812650798964,0.7811631452621264,0.06644343662202529,3.6034176286462647,0.29091697376978104,0.3603651987110634,0.0018190901075217938,0.2582923279958859,0.7757627106364933,0.0669367366525821,3.5658260885560655,0.28788207240407543,0.35660580021482274,0.0031143264463412102,581.5325080755306,573.2434365989551,2026-04-30T05:26:14Z
29,top_40,False,40,40,sigmoid,feature_subsample_regularized,0.26724296079871795,0.7771287588760427,0.06668342612982704,3.6222133986913647,0.29243442445263385,0.3622448979591837,0.0033606999504541936,0.2592717169859627,0.770874666798118,0.06694135868906191,3.5819367485947224,0.2891827444179493,0.3582169709989259,0.004225689008048744,575.0287250417326,574.2645305352613,2026-04-30T05:26:14Z
29,top_60,False,60,60,sigmoid,feature_subsample_regularized,0.2719122018073161,0.7808660370052146,0.06640941829149422,3.6517496087622354,0.29481898981140253,0.3651987110633727,0.00397115650599781,0.25968264698117277,0.7727723194503723,0.0668697965576178,3.6034176286462647,0.29091697376978104,0.3603651987110634,0.0038639140650971126,576.1994059878162,576.0877577124027,2026-04-30T05:26:14Z
29,top_80,True,80,80,sigmoid,regularized_low_learning_rate,0.27289741347293006,0.779380622376064,0.0664569181958091,3.624898508697808,0.29265120312161286,0.36251342642320084,0.004182018229048687,0.2599633753277025,0.7729053709568459,0.06691217634469199,3.5765665285818367,0.2887491870799913,0.3576799140708915,0.003583875361841776,575.9392546664643,574.6710169748737,2026-04-30T05:26:14Z
29,top_100,False,100,100,sigmoid,feature_subsample_regularized,0.2718566237445639,0.7800903486223046,0.0664430258427356,3.6383240587300216,0.2937350964665077,0.3638560687432868,0.002910497058662223,0.2621922370860521,0.7733261835510947,0.06679692857348953,3.6517496087622354,0.29481898981140253,0.3651987110633727,0.004518196456042472,578.8009192013354,576.1256964467665,2026-04-30T05:26:14Z
29,full,False,140,full,sigmoid,regularized_low_learning_rate,0.2715591470863218,0.7804700298726913,0.06642292922020979,3.632953838717136,0.2933015391285497,0.3633190118152524,0.003069833699836195,0.2609342579192548,0.7735817614996081,0.06684489283254473,3.600732518639822,0.2907001951008021,0.36009667024704617,0.0029821501891359233,579.1911461833633,574.1517982960088,2026-04-30T05:26:14Z
43,top_40,False,40,40,sigmoid,feature_subsample_regularized,0.2592142303338508,0.7672463946461441,0.06715712894581924,3.5550856485302944,0.28701495772815955,0.35553168635875404,0.0047163373952020405,0.2563139799439323,0.7697031929296494,0.06716759193244938,3.504068558407881,0.2828961630175591,0.3504296455424275,0.0034736205190517453,568.9151689899625,574.273202245973,2026-04-30T05:26:14Z
43,top_60,False,60,60,sigmoid,baseline_current,0.2639012566529806,0.770761550852919,0.06698247471741171,3.5577707585367366,0.2872317363971385,0.3558002148227712,0.004031844233545218,0.2573958721717118,0.7721060423419669,0.0670421824580672,3.544345208504523,0.28614784305224367,0.3544575725026853,0.003189908611267883,571.6467578641576,575.4764021072257,2026-04-30T05:26:14Z
43,top_80,False,80,80,sigmoid,regularized_low_learning_rate,0.2633536677248678,0.7709384694600753,0.06692649835594419,3.6061027386527083,0.29113375243876005,0.3606337271750806,0.005184351821493561,0.261749020507047,0.773785379066845,0.06685996667507167,3.549715428517408,0.2865814003902016,0.35499462943071963,0.0033891680394024203,571.7768335248336,578.0388926225421,2026-04-30T05:26:14Z
43,top_100,True,100,100,sigmoid,feature_subsample_regularized,0.26456503768812795,0.7718895375869302,0.06686671629755159,3.6436942787429074,0.29416865380446566,0.36439312567132115,0.004558276085413676,0.2625196040044202,0.7742814313064252,0.06684918038770273,3.549715428517408,0.2865814003902016,0.35499462943071963,0.0029187313329823417,572.2971361675375,577.0698289505062,2026-04-30T05:26:14Z
43,full,False,140,full,sigmoid,feature_subsample_regularized,0.26440265538155816,0.7718915387423823,0.06685247908900625,3.6222133986913647,0.29243442445263385,0.3622448979591837,0.004045490047583762,0.26322126209149,0.7751520542506658,0.06678461884184894,3.56045586854318,0.2874485150661175,0.3560687432867884,0.0036853811797751854,573.727968434973,579.5022438051467,2026-04-30T05:26:14Z
